array-concatenation	2124.9	0	612.5	1400.1	4008.8	65307.1	30858.7	10396.6	12897.4	43531.2	11261.2	2593.0	39372.0	1861.9
call-an-object-method	1640.8	141.1	136.1	134.7	133.2	54042.4	178559.0	40463.4	49565.3	107343.6	19273.6	0	773.8	79.8
classes	1468.1	237.0	6048.0	130.5	970.7	44744.7	108779.0	49762.4	4615.6	7139.8	46068.2	144.7	9073.0	79732.0
file-input-output	546.3	0	124.8	328.1	522.6	22617.3	128.1	208.4	184.8	2001.5	145.3	201.7	25921.4	847.1
inheritance-multiple	-1	-1	576.6	-1	-1	5013.3	1143.1	-1	1237.0	-1	882.3	-1	1234.8	-1
inheritance-single	810.2	-1	703.9	-1	3704.3	4993.7	1082.9	683.3	857.7	3332.4	893.8	-1	1266.8	745.5
regular-expressions	11093.8	4625.3	3239.6	35250.0	436.3	67247.0	1605.2	776.0	3435.0	7587.5	931.6	345.9	15552.7	7135.4
url-decoding	11414.2	234.5	1061.3	4285.2	4474.1	47985.9	16076.6	2063.9	234.6	18984.6	31459.2	4166.2	22884.9	10205.8
url-encoding	1650.9	72586.9	783.2	6115.4	501.3	36345.2	516.5	168.4	3251.6	35482.8	1476.8	344.8	7524.9	1560.5
