PL VL1 VL2 VL3
1 1.75177613E9 38484.6 578400.0
1 8.1287936E7 9262.5 36762.5
1 672.0 436.5 0.0
1 2.36E7 3820.8 5089.5
1 2.04368655E12 2.66426839E10 5.8206839E10
1 2.51862976E8 6.5073971E9 1.21013565E10
1 5.20739422E11 7768592.0 7333051.0
1 2.55130394E9 1.89404403E9 1.10490386E11
1 16694.1 35877.8 37750.0
1 2.21561946E11 3.4150252E7 4.429774E7
1 Nan Nan Nan
1 2.49418032E8 25077.6 47562.5
1 6.9669658E9 1114112.0 2991262.5
1 8.7581248E7 84272.4 89726.4
1 1.72456076E18 1.89142491E14 1.39328095E15
1 3.6053707E14 7.4105577E10 8.2899059E10
1 2.05499295E13 9.9593651E8 143271.1
1 3.02629299E9 345600.0 1639621.1
1 1.22137306E9 217485.4 383891.4
1 6.2574125E8 68505.6 78321.6
1 644851.0 27.0 59.4
1 2.10142608E8 39445.0 136033.8
1 552881.7 201.6 55.9
1 699602.5 312.8 38850.0
1 6848000.0 1433.7 628646.4
2 7.1775592E7 102424.5 1231545.6
2 1.1602451E7 256.8 885.6
2 384000.0 262.4 917.6
2 3.3308276E7 1833.3 4830.3
2 1.593856E8 43080.8 315648.0
2 404800.0 2386246.0 5364013.5
2 6.6869617E9 3.130862E7 5.4803524E7
2 2.23891538E10 1.15998484E10 1.32065604E12
2 4.5480112E8 3.33280742E9 8.4134907E9
2 4.4406864E7 18208.8 73980.0
2 Nan Nan Nan
2 Nan Nan Nan
2 1.68788659E9 947362.5 3167437.5
2 34339.8 22.7 52.6
2 1.92793482E14 4.2818257E10 1.83742169E11
2 3.08448502E10 8877033.0 1.9992268E7
2 1.68206179E12 3.1911656E7 4.10368691E9
2 2.21391585E10 1.29735E7 2.3090624E7
2 7.952344E7 39376.4 61430.4
2 1.00579952E8 41022.8 76334.4
2 1112560.8 362.4 830.4
2 6.263177E8 604777.6 1189036.8
2 464800.0 16.0 37.1
2 4469645.0 1525.5 10508.8
2 3.25843292E10 5796403.0 2.3779688E7
3 7.2298136E7 91052.1 1213574.4
3 2.0143058E7 4403.2 29158.4
3 364000.0 276.0 1458.4
3 1.3450554E7 1946.7 1208.0
3 1.81068842E16 1.82885915E14 1.33393535E16
3 6.2229524E9 3796012.0 9872800.0
3 7.7076925E9 2.1141622E7 4.3427052E7
3 9.1681823E9 2.22069514E10 1.32065604E12
3 8201541.5 4.05345568E8 8.7294778E8
3 2.63586161E10 1.92224336E8 2.6301408E8
3 1.99774864E8 12450.0 19699.2
3 1.5872E8 10737.5 17510.4
3 6.3350542E12 1.47791237E10 3.4581098E10
3 6.8981627E9 3.1754426E7 5.634074E7
3 1.1651849E15 6.9307813E11 5.7088193E11
3 8.1241932E13 6.5637499E10 1.54716586E11
3 5.0133289E12 1.96353966E10 3.9319142E10
3 1.12893891E10 6.0548788E7 1.0916228E8
3 2.597E8 1128857.6 1729917.8
3 1.61125E7 21729.6 54187.5
3 2341572.5 1493.1 4600.8
3 1.968E9 2736800.0 9972800.0
3 468000.0 14.7 53.2
3 4.9734588E7 35843.5 129551.1
3 4.10562816E8 187200.0 180135.9
4 3.561332E7 625083.2 902684.2
4 1.26946601E10 55449.6 179046.4
4 25400.0 1490.4 939.2
4 1580082.4 355.2 1227.2
4 4.27136224E8 197121.1 472902.3
4 54604.8 306374.4 3058425.0
4 4.3437097E9 2.9976446E7 3.1559722E7
4 1.55501197E9 2.99979424E8 8.975821E11
4 7.8464031E9 1.73447654E9 9.4517821E9
4 2.22605025E10 3973833.5 1.2293116E7
4 Nan Nan Nan
4 Nan Nan Nan
4 3.8407434E10 2530105.2 2.11125E7
4 1.55294259E9 243648.0 2548462.5
4 5.11310656E14 1.80685531E12 4.2034059E12
4 2.43855412E15 3.25796618E10 2.62398198E10
4 7.1929336E13 1.35585475E10 9.4764689E11
4 2.32491187E9 1.4451614E7 59400.0
4 3.5704112E7 326419.2 911.2
4 6002.5 264.8 986.4
4 258357.6 7600.0 58.8
4 4.9161816E7 635236.0 372081.6
4 716610.4 17.8 72.5
4 2265300.0 25.3 496.8
4 1.17578588E11 8335750.5 4.43232E7
5 1.07139104E9 883237.5 6068196.0
5 5.7596116E7 682981.6 1.717372E7
5 21.6 19.5 35475.0
5 0.0 221900.0 1023938.3
5 Nan Nan Nan
5 4.579344E8 1265097.5 1.1497532E7
5 1.67770702E11 5.7920848E7 2.951584E8
5 2.15130277E13 1.17320947E9 2.62327108E11
5 1.84052944E8 494325.0 3.34206822E9
5 1.53074139E11 2.4018674E7 8.409484E7
5 2.6072095E21 2.72616372E14 7.7652623E11
5 4.6768912E12 2753600.0 3.3809192E7
5 6.1893155E11 185200.0 3955097.5
5 47773.6 0.0 2786.4
5 2.35770529E17 4.1465442E10 4.59777573E11
5 2.23246713E14 4.7477844E12 1.28284902E14
5 304539.6 29.9 15430.4
5 8.0683467E10 838350.0 1.5542126E7
5 3.041796E7 1544.4 14982.4
5 9.7600471E10 5663693.0 9.1924E7
5 3.24250042E11 3.7642192E7 5.793344E8
5 3.05745024E8 34608.7 581700.0
5 Nan Nan Nan
5 4.456448E7 963.9 984.0
5 4.3182188E9 289.6 149445.1
6 3.93412162E12 4.61865878E11 4.44108341E11
6 1.41771276E11 4.1556777E9 7.7366364E9
6 2.71882527E10 1.53932416E8 6.5588851E8
6 5.5322944E8 5429415.0 1.4727768E7
6 1.88043634E14 3.55534504E11 3.8184419E10
6 4.0431755E10 1.03147323E11 4.56514634E11
6 2.02072826E14 4.9243441E12 6.275384E12
6 6.9473309E12 5.9968885E12 1.56215443E14
6 4.50961146E11 6.2054851E10 3.77556435E11
6 4.3899343E10 1.94534992E8 9.0297715E8
6 9.0336471E9 2.9057448E7 1.03998384E8
6 1.24470794E10 2.6703138E7 1.03283048E8
6 2.14769904E16 7.3921924E14 3.10547275E14
6 5.6778201E11 3.96965734E9 3.9082938E10
6 1.2128787E20 4.47706183E15 2.55343886E15
6 3.6580975E16 2.12557831E14 3.91021285E15
6 1.6591363E14 1.88965968E8 3.99292768E8
6 3.06436857E14 4.1167299E10 4.6128636E10
6 4.51308356E11 7.0202704E7 2.25763152E8
6 3.0841353E11 2.8040272E8 1.23327872E9
6 6.1236649E9 1799755.2 1.4504706E7
6 2.24940288E12 3.88363328E8 1.13190054E9
6 0.0 166.4 73.0
6 3.52162284E12 2.12471235E10 3.0759587E11
6 5.9359693E12 5.3808538E10 3.59183843E11
7 1.30310902E14 1.60572129E11 64800.0
7 3.37879675E10 4.44864E7 2.64267232E8
7 1.34536411E13 1.37260902E10 6.1405618E10
7 2.2223896E7 22917.6 93725.0
7 3.08656608E18 1.66759525E16 4.02276032E15
7 2.51460101E13 1.50269581E13 9.2312155E14
7 6.1288883E16 3.53524026E14 2.6136141E14
7 2.75598054E9 1.39896742E9 7.2653944E11
7 1.39431416E13 6.8489256E13 8.7792856E14
7 4.9435503E12 4.5946634E9 6.1042227E9
7 3.02498688E8 75724.8 288716.8
7 1.9760752E8 47368.3 180863.9
7 4.4896E9 1890151.2 1.2258786E7
7 9.466241E9 6448437.5 2.0683468E7
7 4.184855E23 5.4388002E18 8.0759206E18
7 1.82106751E18 8.3061054E15 1.98596582E16
7 4.1907876E7 9887.5 500.8
7 1.44295251E15 2.2540174E12 1.13837804E13
7 1.60164968E14 2.67303748E11 6.8712995E11
7 9.5764173E13 1.4141114E11 5.15922067E11
7 1.06411681E12 1.94827174E9 5.8607032E9
7 1.82348742E14 1.35894196E11 1.21343351E12
7 5376525.0 6337.5 20800.0
7 1.44674222E10 4101609.5 4.3463636E7
7 1.52557373E10 4876533.5 4.4736744E7
8 9.3970261E14 1.3482039E9 8.4393155E9
8 1.48041417E11 367027.2 1664886.6
8 1.78641825E13 4.44096E7 1.53888E8
8 2.7643532E7 1838.7 6099.3
8 Nan 2.68007754E14 2.71611047E13
8 4.4455219E9 1.50514258E10 6.0060418E10
8 7.917743E16 1.91009407E11 6.2155653E11
8 2.40511693E9 6.1959437E8 4.47061295E11
8 1.44261333E11 4.31785345E11 1.89921912E12
8 2.62632047E11 9386823.0 3.4218896E7
8 Nan Nan Nan
8 2.01740064E8 10387.5 20006.4
8 3.10615584E8 74240.0 834137.7
8 7014400.0 1093.5 4930.2
8 3.9263727E21 8.2668033E15 5.3865646E16
8 1.10329455E14 8.2205818E8 3.31270682E9
8 1971000.0 12650.0 15212.8
8 2.62379939E16 7.2905196E11 1.53723378E12
8 1.58172425E15 2.74003098E9 2.38817608E10
8 1.21507309E15 1.1129812E10 6.7693584E10
8 3.9202016E13 2.1151984E8 6.9007213E8
8 3.29300887E15 6.3678182E9 8.5913199E10
8 Nan Nan Nan
8 482498.1 14.7 44.1
8 120825.0 18.3 57.6
9 1.24247149E15 1.81980938E11 1.50054725E12
9 8.0856344E11 4992120.0 2.0347546E7
9 1.72443121E14 4.6379102E10 9.9741598E10
9 3.687936E7 14937.5 19667.2
9 2.3886261E14 5.7911292E10 1.56845457E11
9 1.29014939E15 2.26223068E15 1.06578239E16
9 8.2194561E15 3.49946092E13 4.4219553E13
9 3.01261082E9 7.3970291E8 7.5844911E11
9 5.45218265E11 9.5931059E11 3.92181422E12
9 5.42854578E11 1.50292176E8 6.1693901E8
9 5.27441408E8 211500.0 328601.6
9 1.83257728E8 23479.2 100353.6
9 1.22155853E12 3.96813184E8 4.7908086E9
9 1.66396915E9 489931.0 1399161.6
9 1.5420059E22 1.50034787E17 8.8350192E16
9 2.76734105E14 6.1952254E10 1.49642854E11
9 1.44096758E10 2461695.0 1.7095852E7
9 3.7989832E16 5.6563063E12 3.62375571E12
9 2.22767161E13 4.6580822E10 1.56806824E11
9 6.9959538E12 2.7997356E10 1.42631715E11
9 7.1691817E12 2.08415821E9 6.1893002E9
9 7.3908421E14 1.4365234E11 1.05900327E11
9 895491.2 1088.1 4862.7
9 1.56382556E10 3616420.5 2.0821708E7
9 8.9380833E9 1224294.4 8129972.5
10 5.04996104E17 1.84814624E14 6.9280138E14
10 5.4460621E10 6231859.0 1.7575232E7
10 2.68302396E14 1.34138862E15 1.21421061E15
10 3.16787876E10 1.0656329E7 3.2703664E7
10 Nan Nan Nan
10 2.48002527E13 3.72351418E14 4.6890896E15
10 4.47482576E15 2.22277335E15 4.29959566E15
10 5.6883708E10 3.8728817E11 2.67255939E12
10 1.14110633E13 3.7284414E13 1.29183842E14
10 2.09585059E14 2.65508356E12 2.16466121E13
10 Nan Nan Nan
10 1.61342597E10 2293142.5 1.821234E7
10 1.39949486E13 7.0474153E9 8.195122E10
10 Nan Nan Nan
10 8.0682206E16 7.1175275E13 1.65679135E14
10 9.1429615E17 7.4804531E17 3.61896831E18
10 3.46376792E12 1.62291507E9 1.3679233E10
10 3.1818837E19 6.8985343E12 2.98906886E13
10 1.82360326E18 4.18372551E11 2.3710044E12
10 1.20391112E17 1.97871075E11 8.6548816E10
10 2.19635551E14 5.2599554E10 3.44795087E11
10 3.16057141E15 4.29766279E11 1.35409828E12
10 Nan Nan Nan
10 7.7379299E12 6.7850248E10 9.1961721E11
10 9.0707012E14 1.01781963E12 6.7984954E12
11 5.3554937E13 6.3423263E9 4.1174303E10
11 2.77150746E9 1419857.0 2286026.5
11 7.3851989E12 3.52734848E8 1.17456486E9
11 4.4797716E7 29224.8 662725.0
11 2.65175593E14 4.1593503E13 6.9434824E13
11 2.67652279E14 6.3355506E14 6.9978298E14
11 1.85859534E16 2.65608207E12 4.22934531E12
11 1.51984064E9 3.31948192E8 4.62536606E11
11 1.93690521E12 8.6802694E12 1.78157404E13
11 2.87912587E13 2.77274747E10 8.5371363E10
11 1.31429416E8 22550.4 47175.0
11 1.96362832E8 40405.4 47737.5
11 3.81139419E12 2.62792653E9 8.9101138E9
11 6.2270085E9 4738867.0 6969823.0
11 5.3748896E20 8.1810111E17 4.1818361E16
11 2.41886116E14 1.5052887E10 3.6951675E10
11 2.829124E7 3225.6 39075.0
11 1.15465954E16 1.50242905E12 1.58380851E12
11 8.7025768E13 8.974466E9 3.5054064E10
11 1.45310215E13 3.6699392E9 1.41595228E10
11 8.517488E12 2.98589414E9 4.6140923E9
11 4.27484833E15 1.56255797E11 9.9073792E11
11 587147.4 16.7 380.0
11 4.7238328E9 1480704.0 184705.5
11 1.10066021E12 2.14395136E8 901353.2
12 2.2773104E8 1355496.8 6083942.5
12 2.69265116E12 3.84687411E9 1.15662653E10
12 7.7398565E10 6.0838412E7 1.1248256E8
12 2.5508788E7 2011.5 349.6
12 3.47940857E15 11212.5 6.9907819E15
12 4.9528356E9 4.20214374E9 1.03702149E10
12 8.6658523E13 1.21340019E9 2.68747802E9
12 1.41916352E9 2.26835456E8 2.50062062E11
12 2.7308288E7 5.2081496E7 1.13609616E8
12 6.1128979E11 1.9876704E9 2.91242778E9
12 Nan Nan Nan
12 Nan Nan Nan
12 1.50681664E8 2.290248E8 4.19376128E8
12 2.0 62924.8 273459.2
12 7.1743587E13 5.7041613E10 2.20181578E11
12 3.48128306E15 1.95641277E15 6.978842E14
12 387200.0 1.0820141E7 1.3516571E7
12 1.34551712E14 1.08532849E10 1.07095562E10
12 4.06110437E11 1.57157824E8 3.25936736E8
12 2.82036326E12 1.5125897E9 2.26935501E9
12 1.4534887E11 3.2308634E7 6.3769804E7
12 5.5676127E13 1.72790003E9 5.6671995E9
12 513600.0 174.4 67.6
12 243777.6 24.0 347.2
12 256608.0 25.3 980.8
13 8.740012E7 113359.5 1128902.4
13 2.29768629E13 2.45874115E10 4.9201906E10
13 4021675.0 1765.8 2656.8
13 4.2905128E7 12825.0 18912.0
13 5.34729523E11 567265.4 685200.0
13 1.04863039E11 3.52216678E9 9.027927E9
