PL VL1 VL2 VL3
8 -1.0 5.6758108E7 3.6981608E7
8 113394.6 480431.1 1917087.0
8 3.91013376E8 1842226.4 6069888.0
8 74232.0 80009.6 5137159.5
8 655849.6 2712202.5 1.1027546E7
8 849568.0 12876.3 46939.5
8 -1.0 -1.0 -1.0
8 27922.5 415.5 1250.4
8 29855.4 1160.0 6893.7
8 4384.0 121.5 547.8
8 1.05678609E12 3.6903248E8 1.28162163E9
8 1.759636E7 119329.1 447905.2
8 19567.0 170.1 950.8
8 2.72975712E8 3632473.5 5598573.0
8 6.6310068E7 218433.6 1201235.4
8 3.3651E7 451532.0 2043641.6
8 1.054616E7 60764.1 205134.4
8 9.6256408E7 334374.0 2282739.8
8 -1.0 -1.0 -1.0
8 1094.1 14.7 44.1
8 537.0 18.3 57.6
9 5.8922708E7 1845723.4 9520695.0
9 864691.4 9436.9 35325.6
9 2.2264834E7 941058.0 2493540.0
9 11760.0 597.5 1229.2
9 2.9761514E7 824653.5 2889083.5
9 6.1855448E7 1.86693344E8 7.6358048E8
9 2.9994192E7 2.5917248E7 3.3906436E7
9 86150.9 63417.6 6758290.0
9 1270831.0 4078268.0 1.5877212E7
9 1234970.1 47924.8 196728.0
9 45219.6 2115.0 5134.4
9 26601.5 652.2 2787.6
9 1923081.2 85816.0 542192.0
9 68374.8 2899.0 9716.4
9 3.48836823E11 5.9903149E8 2.75033824E8
9 2.7871856E7 1075560.0 3063877.8
9 152778.1 5278.5 32317.3
9 3.16550208E8 1.0273658E7 4318848.5
9 5046602.0 920115.0 3125136.0
9 1166458.8 721414.0 2973910.5
9 4487200.0 196451.9 618930.0
9 4.5711532E7 1650702.0 1109124.6
9 1692.8 120.9 540.3
9 209827.8 8200.5 36148.8
9 157794.0 4782.4 22520.7
10 5.8285421E8 6.0209932E7 2.0892424E8
10 395671.5 10819.2 33223.5
10 1.3548915E7 1.60493872E8 1.16961496E8
10 354344.9 15763.8 48378.2
10 -1.0 -1.0 -1.0
10 2188909.8 5.555062E7 5.4844589E8
10 9.1218696E7 2.10181312E8 4.08317696E8
10 402357.6 2667990.5 1.2685337E7
10 5855382.5 2.5592504E7 9.1841472E7
10 4765092.0 7158856.0 3.6892016E7
10 -1.0 -1.0 -1.0
10 256095.3 7077.6 37628.8
10 6415202.0 359562.0 2246408.2
10 -1.0 -1.0 -1.0
10 5.006248E8 3.5447812E7 9.5520432E7
10 6.7028224E8 1.12632934E9 3.57491994E9
10 2898951.5 210459.6 904173.0
10 5.5146051E9 1.145601E7 2.7111736E7
10 1.23838656E9 2822550.5 1.2191445E7
10 4.13604704E8 273870.0 100068.0
10 1.7546358E7 1011841.2 4694858.0
10 9.6666792E7 2869527.5 9328252.0
10 -1.0 -1.0 -1.0
10 1224318.0 1139650.8 7550161.5
10 5.1055872E7 4309216.0 2.0634266E7
11 1.2167141E7 333035.4 1476363.5
11 88464.6 4913.0 11663.4
11 4564445.0 78577.6 269643.0
11 13316.8 811.8 26509.0
11 3.0783454E7 1.909206E7 4.2779772E7
11 2.839842E7 8.1507736E7 1.65706576E8
11 2.21365248E8 6821381.0 1.5946254E7
11 60117.9 62290.9 5314985.5
11 2380648.5 1.1985995E7 3.361562E7
11 9015951.0 714459.9 2315846.5
11 22754.4 626.4 1887.0
11 27829.2 824.6 1909.5
11 3304268.5 217184.0 736373.0
11 133466.4 8227.2 21511.8
11 8.4464891E9 3.58895616E9 1.37081904E8
11 2.5866398E7 527043.4 1499114.5
11 10046.7 405.0 1563.0
11 1.01572608E8 5288586.0 3965231.2
11 8519897.0 404237.0 1478076.6
11 6322629.5 259158.2 935919.3
11 6937963.5 330847.0 669776.8
11 1.0908676E8 1690787.2 7861439.5
11 1331.4 16.7 95.0
11 139527.2 5784.0 3769.5
11 1763596.0 61590.1 7449.2
12 24710.4 4690.3 18777.6
12 2752881.5 258457.0 889986.6
12 464956.8 31424.8 91822.5
12 9807.3 223.5 87.4
12 1.107922E8 448.5 5.6261011E8
12 117854.5 252517.5 797954.4
12 1.5324545E7 137324.6 399684.4
12 56848.4 50531.4 3845629.5
12 8708.0 26901.6 82987.3
12 1306576.8 187357.0 359559.0
12 -1.0 -1.0 -1.0
12 -1.0 -1.0 -1.0
12 20373.4 63618.0 161236.5
12 2.0 983.2 4272.8
12 1.394752E7 927445.6 3668164.5
12 2.235168E7 1.72573568E8 8.7447312E7
12 103974.0 12528.0 27926.8
12 1.9276296E7 408494.3 531122.6
12 1046328.5 51953.0 141465.6
12 2786821.2 157495.8 373003.8
12 628234.1 22374.4 62275.2
12 1.2493742E7 172790.0 590087.4
12 1284.0 43.6 67.6
12 752.4 24.0 86.8
12 792.0 25.3 245.2
13 15131.6 1399.5 7839.6
13 8073476.0 653295.0 1764204.8
13 3283.0 196.2 295.2
13 12754.2 513.0 1182.0
13 4.11457E7 3356.6 6852.0
13 1.723587E7 214976.0 719700.8
13 35666.8 11094.2 29653.8
13 1.04550195E9 1.148E9 2.90804966E9
13 3.18086093E9 1.1266995E7 3.2525456E7
13 3189707.0 188634.2 500058.0
13 3.9152332E7 1530.0 3803.8
13 4.3733708E7 1615.5 3850.7
13 1.75682586E9 395130.0 1565584.0
13 7.3264471E9 288886.0 951181.5
13 3.95097574E9 2.79381478E9 5.3708605E9
13 6.1255315E8 1.55237936E8 1.93634864E8
13 7621474.0 327859.3 1106428.0
13 4.21168096E8 9.5830808E7 2.23561216E8
13 4548968.0 452256.0 1073715.2
13 4.6227404E7 3660057.0 1.1904448E7
13 8.0358096E7 8247433.5 2.0886544E7
13 2498683.5 486313.8 1126428.2
13 -1.0 -1.0 -1.0
13 60762.2 2498.4 7151.1
13 1041807.6 53418.4 152895.0
14 999497.4 126068.8 84328.8
14 35053.8 431.0 674.0
14 64.5 21.0 485.4
14 12397.5 498.5 1061.6
14 3841968.0 799253.4 1172366.0
14 23184.0 292433.2 766138.6
14 532531.5 7902.4 31815.9
14 308586.7 3183655.2 1.0930308E7
14 -1.0 -1.0 -1.0
14 9.3039917E8 1.7933248E7 4.9839896E7
14 -1.0 -1.0 -1.0
14 32972.8 641.4 1389.0
14 58478.4 2342.4 6158.0
14 17394.0 1109.7 2211.6
14 3.13147822E10 1.3299839E10 5.4513382E9
14 143376.9 9620.0 36607.5
14 2322926.0 35314.4 121923.0
14 94507.6 4703.9 15636.8
14 26805.4 1661.0 6070.0
14 79730.0 2783.3 6636.3
14 677611.8 12404.6 29658.2
14 33719.2 2121.6 7174.2
14 1456.4 1135.2 4980.0
14 60049.5 696.0 1204.5
14 45004.8 1407.6 5157.9
