PL VL1 VL2 VL3
8 4768.7 1662819.2 2.9310054E7
8 NaN 5.6758108E7 3.6981608E7
8 148599.0 4781875.0 1917087.0
8 3.91013376E8 1842226.4 6069888.0
8 74232.0 310.5 625.2
8 655849.6 2265073.2 1.1027546E7
8 849568.0 12876.3 46939.5
8 NaN NaN NaN
8 27922.5 802.8 4811.1
8 29855.4 1160.0 6893.7
8 4384.0 121.5 547.8
8 1.05678609E12 3.6903248E8 1.28162163E9
8 1.759636E7 119329.1 447905.2
8 61.0 441.0 6984.0
8 2.72975712E8 3632473.5 5598573.0
8 6.6310068E7 218433.6 1201235.4
8 3.3651E7 451532.0 2043641.6
8 1.054616E7 60764.1 205134.4
8 9.6256408E7 334374.0 2282739.8
8 NaN NaN NaN
8 1127.7 4614.4 51597.5
8 3.8 14.9 336.8
9 5.8922708E7 1845723.4 9520695.0
9 39567.0 1.585513E7 1883020.4
9 2.2264834E7 6482652.0 4.9961824E7
9 65067.6 2.3312866E7 8561938.0
9 2.9761514E7 824653.5 2889083.5
9 4.6907704E7 1.15684176E8 7.6358048E8
9 2.9994192E7 2.5917248E7 3.3906436E7
9 86150.9 242.0 554.4
9 1270831.0 6050754.5 1.5877212E7
9 1234970.1 47924.8 196728.0
9 45219.6 2898.5 14844.0
9 26601.5 1546.4 7719.3
9 1923081.2 85816.0 542192.0
9 68374.8 2899.0 9716.4
9 3.48836823E11 5.9903149E8 2.75033824E8
9 2.7871856E7 1075560.0 3063877.8
9 2073.5 7236.0 137400.0
9 3.16550208E8 1.0273658E7 4318848.5
9 5046602.0 920115.0 3125136.0
9 1166458.8 721414.0 2973910.5
9 4487200.0 196451.9 618930.0
9 4.5711532E7 1650702.0 1109124.6
9 1692.8 120.9 540.3
9 218060.7 982588.8 703.8
9 2199.0 8261.4 120309.2
10 5.8285421E8 6.0209932E7 2.0892424E8
10 965435.0 7.002096E7 2.102557E7
10 1.3548915E7 6.2681296E7 1.16628826E9
10 112018.8 1.48807552E8 5.0371288E7
10 NaN NaN NaN
10 5.5014432E7 1.59580672E8 5.4844589E8
10 9.1218696E7 2.10181312E8 4.08317696E8
10 402357.6 148157.1 50037.5
10 5855382.5 3.0615586E7 9.1841472E7
10 4765092.0 7158856.0 3.6892016E7
10 NaN NaN NaN
10 256095.3 13041.6 109969.2
10 6415202.0 359562.0 2246408.2
10 NaN NaN NaN
10 5.006248E8 3.5447812E7 9.5520432E7
10 6.7028224E8 1.12632934E9 3.57491994E9
10 58633.6 419233.2 1972750.0
10 5.5146051E9 1.145601E7 2.7111736E7
10 1.23838656E9 2822550.5 1.2191445E7
10 4.13604704E8 273870.0 100068.0
10 1.7546358E7 1011841.2 4694858.0
10 9.6666792E7 2869527.5 9328252.0
10 NaN NaN NaN
10 344520.0 2727784.5 1.2169129E7
10 9.0899424E7 6516842.0 3.9421392E7
11 1.2167141E7 333035.4 1476363.5
11 21940.1 1.2332274E7 1452694.8
11 4564445.0 735698.7 4201645.0
11 7098.0 2697326.5 2.3863328E7
11 3.0783454E7 1.909206E7 4.2779772E7
11 3.5926384E7 1.10180864E8 1.65706576E8
11 2.21365248E8 6821381.0 1.5946254E7
11 60117.9 117.6 290.6
11 2380648.5 1.1948035E7 3.361562E7
11 9015951.0 714459.9 2315846.5
11 22754.4 1187.9 7940.7
11 27829.2 1084.8 8044.2
11 3304268.5 217184.0 736373.0
11 133466.4 8227.2 21511.8
11 8.4464891E9 3.58895616E9 1.37081904E8
11 2.5866398E7 527043.4 1499114.5
11 224.0 757.4 10247.6
11 1.01572608E8 5288586.0 3965231.2
11 8519897.0 404237.0 1478076.6
11 6322629.5 259158.2 935919.3
11 6937963.5 330847.0 669776.8
11 1.0908676E8 1690787.2 7861439.5
11 1331.4 16.7 95.0
11 383058.9 1507651.2 1.3433078E7
11 781.2 3521.0 25105.6
12 24710.4 4690.3 18777.6
12 4439.4 538806.4 77790.0
12 101347.2 14.2 0.0
12 118.4 20.2 289.4
12 1.107922E8 448.5 5.6261011E8
12 0.0 266982.4 797954.4
12 1.5324545E7 137324.6 399684.4
12 56848.4 105.0 403.4
12 8708.0 84606.6 82987.3
12 1306576.8 187357.0 359559.0
12 NaN NaN NaN
12 NaN NaN NaN
12 20373.4 63618.0 161236.5
12 2.0 983.2 4272.8
12 1.394752E7 927445.6 3668164.5
12 2.235168E7 1.72573568E8 8.7447312E7
12 53.0 372.0 2170.5
12 1.9276296E7 408494.3 531122.6
12 1046328.5 51953.0 141465.6
12 2786821.2 157495.8 373003.8
12 628234.1 22374.4 62275.2
12 1.2493742E7 172790.0 590087.4
12 1284.0 43.6 67.6
12 4468.8 16988.8 191645.2
12 32.8 153.3 1379.2
13 15131.6 1399.5 7839.6
13 286540.8 1.9494868E7 1.7678028E7
13 14319.0 11739.0 6964.2
13 343.2 216964.8 934519.0
13 4.11457E7 3356.6 6852.0
13 20682.0 1047290.4 719700.8
13 35666.8 11094.2 29653.8
13 1.04550195E9 5308.8 1.2053451E7
13 3.18086093E9 4307923.5 3.2525456E7
13 3189707.0 188634.2 500058.0
13 3.9152332E7 1381.6 14817.6
13 4.3733708E7 3095.4 15201.6
13 1.75682586E9 395130.0 1565584.0
13 7.3264471E9 288886.0 951181.5
13 3.95097574E9 2.79381478E9 5.3708605E9
13 6.1255315E8 1.55237936E8 1.93634864E8
13 129602.0 122049.0 2815038.8
13 4.21168096E8 9.5830808E7 2.23561216E8
13 4548968.0 452256.0 1073715.2
13 4.6227404E7 3660057.0 1.1904448E7
13 8.0358096E7 8247433.5 2.0886544E7
13 2498683.5 486313.8 1126428.2
13 NaN NaN NaN
13 140056.4 573827.8 5972959.0
